"","ISO","year","PriorityArea","Policy","valueCAP_Comp","Policytype","Policytype_detail"
"94621","USA",2000,"Buildings","Bans and Phaseouts Fossil Fuels Heating",0,"NMBI","Technology Standards"
"94622","USA",2000,"Buildings","BuildingEnergyCodes",5,"NMBI","Performance Standards"
"94623","USA",2000,"Buildings","Carbon Tax Buildings",0,"MBI","Carbon Pricing"
"94624","USA",2000,"Buildings","ETS Buildings",0,"MBI","Carbon Pricing"
"94625","USA",2000,"Buildings","ETS_Buildings",0,"MBI","Carbon Pricing"
"94626","USA",2000,"Buildings","Excise Taxes Buildings",NA,"MBI","Carbon Pricing"
"94627","USA",2000,"Buildings","Financing Mechanism Buildings",NA,"MBI","Subsidy"
"94628","USA",2000,"Buildings","Fossil Fuel Subsides Buildings",NA,"MBI","Carbon Pricing"
"94629","USA",2000,"Buildings","Labels Appliances",10,"NMBI","Information"
"94630","USA",2000,"Buildings","MEPS of appliances",8,"NMBI","Performance Standards"
"94631","USA",2000,"Cross_sectoral","Bans Phase Outs Fossil Fuel Extraction",0,"NMBI","Technology Standards"
"94632","USA",2000,"Cross_sectoral","Fossil Fuel Subsidies Producer Support",NA,"MBI","Carbon Pricing"
"94633","USA",2000,"Cross_sectoral","Independent Advisory Body",0,"Other","Governance"
"94634","USA",2000,"Cross_sectoral","Methane Policies",4,"NMBI","Other NMBI"
"94635","USA",2000,"Cross_sectoral","Nationally Determined Contributions",NA,"Other","Targets"
"94636","USA",2000,"Cross_sectoral","Net Zero Targets",0,"Other","Targets"
"94637","USA",2000,"Cross_sectoral","RDD_CCS",0,"MBI","Other MBI"
"94638","USA",2000,"Cross_sectoral","RDD_EnergyEfficiency",6,"MBI","Other MBI"
"94639","USA",2000,"Cross_sectoral","RDD_Hydrogen",NA,"MBI","Other MBI"
"94640","USA",2000,"Cross_sectoral","RDD_Nuclear",5,"MBI","Other MBI"
"94641","USA",2000,"Cross_sectoral","RDD_Otherstorage",4,"MBI","Other MBI"
"94642","USA",2000,"Cross_sectoral","RDD_Renewables",3,"MBI","Other MBI"
"94643","USA",2000,"Electricity","AirEmissionStandards",2,"NMBI","Performance Standards"
"94644","USA",2000,"Electricity","Auction",0,"MBI","Subsidy"
"94645","USA",2000,"Electricity","BanPhaseOutCoal",0,"NMBI","Technology Standards"
"94646","USA",2000,"Electricity","Carbon Tax Electricity",0,"MBI","Carbon Pricing"
"94647","USA",2000,"Electricity","ETS Electricity",0,"MBI","Carbon Pricing"
"94648","USA",2000,"Electricity","Excise Taxes Electricity",NA,"MBI","Carbon Pricing"
"94649","USA",2000,"Electricity","Feed-In-Tariffs",0,"MBI","Subsidy"
"94650","USA",2000,"Electricity","Fossil Fuel Subsidies Electricity",NA,"MBI","Carbon Pricing"
"94651","USA",2000,"Electricity","PlanningRenewablesExpansion",NA,"NMBI","Other regulatory instruments"
"94652","USA",2000,"Electricity","Renewable energy certificates",1,"MBI","Subsidy"
"94653","USA",2000,"Industry","Carbon Tax Industry",0,"MBI","Carbon Pricing"
"94654","USA",2000,"Industry","ETS Industry",0,"MBI","Carbon Pricing"
"94655","USA",2000,"Industry","EnergyEfficiencyMandates",NA,"NMBI","Other regulatory instruments"
"94656","USA",2000,"Industry","Excise Taxes Industry",NA,"MBI","Carbon Pricing"
"94657","USA",2000,"Industry","Financing Mechanism Industry",NA,"MBI","Subsidy"
"94658","USA",2000,"Industry","Fossil Fuel Subsidies Industry",NA,"MBI","Carbon Pricing"
"94659","USA",2000,"Industry","MEPS electric motors",7,"NMBI","Performance Standards"
"94660","USA",2000,"International","Ban on Export Credits Coal",0,"NMBI","Technology Standards"
"94661","USA",2000,"International","Ban on Financing Fossil Fuels Abroad",0,"NMBI","Technology Standards"
"94662","USA",2000,"International","Evaluation Biannual Report",0,"Other","Climate data"
"94663","USA",2000,"International","GHG Reporting Accounting",NA,"Other","Climate data"
"94664","USA",2000,"International","International Initiatives",0,"Other","International Co-operation"
"94665","USA",2000,"International","Pricing Aviation Maritime",0,"MBI","Carbon Pricing"
